fname,itp,tp_prob,its,ts_prob
SC.AXI_20180101025444.npz,[],[],[],[]
SC.AXI_20180101062906.npz,[1505],[0.97534],[1798],[0.847278]
SC.AXI_20180101171308.npz,[],[],[],[]
SC.AXI_20180104072045.npz,[1511],[0.865579],[1945],[0.442678]
SC.AXI_20180104001929.npz,[],[],[],[]
SC.AXI_20180101172415.npz,[],[],[],[]
SC.AXI_20180101225925.npz,[1508],[0.972414],[1978],[0.841881]
SC.AXI_20180101004201.npz,[],[],[],[]
SC.AXI_20180104162403.npz,[1509],[0.892917],[1842],[0.682518]
SC.AXI_20180105064055.npz,[1498],[0.948007],[1905],[0.756942]
SC.AXI_20180106213650.npz,[1488],[0.77634],[2156],[0.576358]
SC.AXI_20180105164734.npz,[1502],[0.972788],[1645],[0.826304]
SC.AXI_20180104192616.npz,[2535],[0.802623],[],[]
SC.AXI_20180104221703.npz,[1489],[0.761505],[505 2254],[0.376906 0.724284]
SC.AXI_20180104103927.npz,[1475],[0.928043],[1773],[0.479302]
SC.AXI_20180106031033.npz,[1500],[0.967813],[1875],[0.942979]
SC.AXI_20180107230121.npz,[1503],[0.971307],[1878],[0.841787]
SC.AXI_20180107121842.npz,[1404 2764],[0.68868 0.306441],[2135],[0.370192]
SC.AXI_20180109035542.npz,[1496],[0.640193],[1921],[0.829263]
SC.AXI_20180107144522.npz,[1496],[0.331578],[1509],[0.452715]
SC.AXI_20180107125730.npz,[1499],[0.957244],[1781],[0.818762]
SC.AXI_20180109021337.npz,[1507],[0.935856],[2022],[0.826309]
SC.AXI_20180107030901.npz,[1508],[0.810227],[2062],[0.893818]
SC.AXI_20180107102552.npz,[1500],[0.933637],[2073],[0.875311]
SC.AXI_20180112112153.npz,[1505],[0.949332],[1684],[0.641823]
SC.AXI_20180109122011.npz,[1495],[0.782765],[1850],[0.657677]
SC.AXI_20180112011647.npz,[1508],[0.978015],[1832],[0.762982]
SC.AXI_20180109193820.npz,[],[],[],[]
SC.AXI_20180111202226.npz,[1504],[0.975979],[1802],[0.828952]
SC.AXI_20180111175944.npz,[1495],[0.832234],[1664],[0.403526]
SC.AXI_20180112003557.npz,[1506],[0.978763],[2008],[0.858347]
SC.AXI_20180111065936.npz,[1504],[0.960695],[1859],[0.874215]
SC.AXI_20180115201712.npz,[1524],[0.901572],[1889],[0.793276]
SC.AXI_20180112180230.npz,[1511],[0.831303],[1857],[0.781468]
SC.AXI_20180116014022.npz,[1512],[0.83772],[1978],[0.830077]
SC.AXI_20180116062722.npz,[1507],[0.865264],[1809],[0.771089]
SC.AXI_20180116010403.npz,[1497 2486],[0.741084 0.816572],[1801],[0.881365]
SC.AXI_20180116122145.npz,[2116],[0.371367],[1499],[0.571288]
SC.AXI_20180116124718.npz,[1506],[0.932937],[1793],[0.918041]
SC.AXI_20180116123941.npz,[1499],[0.85485],[2061],[0.91753]
SC.AXI_20180116160710.npz,[1503],[0.948598],[1773],[0.803873]
SC.AXI_20180117101757.npz,[1489],[0.481684],[1751],[0.559747]
SC.AXI_20180116171458.npz,[1504],[0.943289],[1632],[0.488481]
SC.AXI_20180117000058.npz,[],[],[],[]
SC.AXI_20180117013221.npz,[1524],[0.416168],[2617],[0.652207]
SC.AXI_20180116164841.npz,[1509],[0.956984],[1793],[0.919791]
SC.AXI_20180117093754.npz,[],[],[],[]
SC.AXI_20180117112501.npz,[1517],[0.539322],[2312],[0.755]
SC.AXI_20180119004108.npz,[],[],[],[]
SC.AXI_20180118035729.npz,[1511],[0.955733],[1994],[0.765537]
SC.AXI_20180118075811.npz,[1444],[0.818992],[1873],[0.447715]
SC.AXI_20180118090128.npz,[1529],[0.321911],[],[]
SC.AXI_20180117131155.npz,[],[],[1514],[0.768594]
SC.AXI_20180118220903.npz,[1495],[0.903248],[1947],[0.669502]
SC.AXI_20180117224056.npz,[1511],[0.947485],[1798],[0.796618]
SC.AXI_20180117122922.npz,[],[],[1497],[0.374971]
SC.AXI_20180120121318.npz,[2921],[0.353697],[],[]
SC.AXI_20180119015255.npz,[1503],[0.912313],[],[]
SC.AXI_20180119031309.npz,[1511],[0.980653],[1866],[0.890361]
SC.AXI_20180120083651.npz,[1505],[0.943545],[2124],[0.633606]
SC.AXI_20180119230723.npz,[1509],[0.567313],[2267],[0.651254]
SC.AXI_20180120054547.npz,[1511],[0.354715],[2461],[0.345636]
SC.AXI_20180120100033.npz,[1503],[0.819023],[2881],[0.642778]
SC.AXI_20180119102005.npz,[1495],[0.88428],[2026],[0.719177]
SC.AXI_20180120165525.npz,[1976],[0.341506],[],[]
SC.AXI_20180121042256.npz,[1504],[0.875171],[379 1778],[0.329885 0.717774]
SC.AXI_20180120204957.npz,[1504],[0.759474],[1706],[0.798092]
SC.AXI_20180120124500.npz,[1500],[0.933931],[2113],[0.60704]
SC.AXI_20180121200404.npz,[1503],[0.940881],[1805],[0.749337]
SC.AXI_20180121234326.npz,[1496],[0.855921],[2321],[0.400018]
SC.AXI_20180122042228.npz,[1502],[0.851259],[2505],[0.652585]
SC.AXI_20180120231607.npz,[2778],[0.678269],[],[]
SC.AXI_20180126072637.npz,[1506],[0.857086],[1889],[0.614042]
SC.AXI_20180123233848.npz,[1507 2795],[0.825379 0.303813],[2029],[0.406682]
SC.AXI_20180123203025.npz,[1503],[0.828475],[2441],[0.462917]
SC.AXI_20180125044025.npz,[1507],[0.979612],[1834],[0.884634]
SC.AXI_20180125120818.npz,[2847],[0.305674],[2451],[0.382499]
SC.AXI_20180125093239.npz,[],[],[1521],[0.548173]
SC.AXI_20180125175424.npz,[1503],[0.978509],[1637],[0.914435]
SC.AXI_20180126101452.npz,[1502],[0.546394],[],[]
SC.AXI_20180127112142.npz,[1501],[0.961767],[2089],[0.534428]
SC.AXI_20180128142513.npz,[1486 2406],[0.804048 0.386984],[2414],[0.430333]
SC.AXI_20180128020412.npz,[1499],[0.850808],[2612],[0.654639]
SC.AXI_20180128161615.npz,[1399],[0.438132],[1485],[0.393273]
SC.AXI_20180130195832.npz,[1516],[0.961771],[2158],[0.485593]
SC.AXI_20180128142257.npz,[1503],[0.854314],[2425],[0.58657]
SC.AXI_20180128054615.npz,[1483],[0.905668],[1785],[0.853345]
SC.AXI_20180128042315.npz,[1496],[0.741262],[2030],[0.570284]
SC.AXI_20180131165747.npz,[1503],[0.885694],[1653 2825],[0.461791 0.544311]
SC.AXI_20180131230819.npz,[1512],[0.778208],[2265],[0.721943]
SC.AXI_20180131015350.npz,[1495],[0.842313],[2573],[0.748379]
SC.AXI_20180131154059.npz,[1495],[0.863271],[1815],[0.499476]
SC.AXI_20180131045637.npz,[1547],[0.628912],[2543],[0.417878]
SC.AXI_20180130234849.npz,[1508],[0.965812],[1720],[0.941914]
